"salePointName","address","salePointCode","status","openHours__days","openHours__hours","rko","network","openHoursIndividual__days","openHoursIndividual__hours","officeType","salePointFormat","suoAvailability","hasRamp","latitude","longitude","metroStation","distance","kep","myBranch"
"ДО «Черноголовский» Филиала № 7701 Банка ВТБ (ПАО)","142432, Московская область, г. Черноголовка, пр-д Строителей, д. 1б","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","да","Розничный (РБ)","Y","N","56.011509","38.377728","null","55228","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Пушкинский» Филиала № 7701 Банка ВТБ (ПАО)","141207, Московская область, г. Пушкино, ул. Тургенева, д. 24, пом. 018","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-19:00","Да","Универсальный","Y","Y","56.010849","37.854359","null","32062","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-19:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-19:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-19:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО ЦИК «Пушкино» Филиала № 7701 Банка ВТБ (ПАО)","141200, Московская область, г. Пушкино, ул. Чехова, д. 14а","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","56.008335","37.851467","null","31732","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-19:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-19:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-19:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Зеленоградский» Филиала № 7701 Банка ВТБ (ПАО)","124498, г. Москва, г. Зеленоград, корп. 401","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","56.000401","37.208775","null","37542","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-19:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-19:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-19:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Каменке» Филиала № 7701 Банка ВТБ (ПАО)","124365, г. Москва, Зеленоград, ул. Каменка, кор. 1805","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.979717","37.162693","null","38013","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Ивантеевский» Филиала № 7701 Банка ВТБ (ПАО)","141280, Московская область, г. Ивантеевка, ул. Дзержинского, д. 11а","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да","Розничный (РБ)","Y","N","55.973255","37.909462","null","30318","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Фрязино» Филиала № 7701 Банка ВТБ (ПАО)","141196, Московская область, г. Фрязино, пр-т Мира, д. 17, пом. 13","","открытая","Не обслуживает ЮЛ","null","null","","пн","10:00-19:00","да","Розничный (РБ)","Y","N","55.956615","38.058323","null","35413","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Проспект Пацаева» Филиала № 7701 Банка ВТБ (ПАО)","141707, Московская область, г. Долгопрудный, пр-т Пацаева, д. 9","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.947811","37.499382","null","22827","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Долгопрудный» Филиала № 7701 Банка ВТБ (ПАО)","141707, Московская область, г. Долгопрудный, ул. Первомайская, д. 33, пом. 5","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да","Универсальный","Y","Y","55.939659","37.516071","МЦД-1 Белорусско-Савёловский диаметр, станция Долгопрудная","21638","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Площадь Ленина» Филиала № 7701 Банка ВТБ (ПАО)","141100, Московская область, г. Щелково, пл.Ленина, д.5","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн-пт","10:00-19:00","Да","Стандарт","null","null","55.922783","37.991207","null","29797","null","False"
"","","","","","","","","сб,вс","выходной","","","","","","","","","",""
"ДО «Проспект Королева» Филиала № 7701 Банка ВТБ (ПАО)","141078, Московская область, г. Королев, пр-т Королева д. 5Д, кор. 1, помещение 01","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.921768","37.844116","null","23297","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Мытищинский» Филиала № 7701 Банка ВТБ (ПАО)","141006, Московская область, г. Мытищи, ул. Воровского, д. 1, пом. V","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.918736","37.761627","null","20320","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Щелковский» Филиала № 7701 Банка ВТБ (ПАО)","141100, Московская область, г. Щелково, Пролетарский просп., д. 7","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да","Универсальный","Y","Y","55.917068","37.995396","null","29609","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Краснознаменской» Филиала № 7701 Банка ВТБ (ПАО)","141100, Московская область, г. Щелково, ул. Краснознаменская, д. 6","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.915436","37.996597","null","29558","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Истринский» Филиала № 7701 Банка ВТБ (ПАО)","143500, Московская область, г. Истра, ул. Ленина, д. 75","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.915363","36.859612","null","50779","False","False"
"","","","","вт","09:00-18:00","","","вт","09:00-19:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-19:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-19:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Проспект Космонавтов» Филиала № 7701 Банка ВТБ (ПАО)","141080, Московская область, г. Королев, пр-т Космонавтов, д. 29/12, корп. 1, пом. I","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.912254","37.868309","null","23430","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Новомытищинский» Филиала № 7701 Банка ВТБ (ПАО)","141008, Московская область, г.Мытищи, Новомытищинский пр-т, д. 30/1, помещение 1","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Розничный (РБ)","Y","Y","55.911961","37.738522","null","19041","False","False"
"","","","","","","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","выходной","","","","","","","","","",""
"ДО «Королевский» Филиала № 7701 Банка ВТБ (ПАО)","141070, Московская область, г. Королев, пр-т Космонавтов, д. 33, корп. 1","","открытая","пн-чт","09:00-18:00","есть РКО","","пн-пт","09:00-18:00","Да","Универсальный","Y","N","55.910648","37.867706","null","23271","null","False"
"","","","","пт","09:00-17:00","","","сб,вс","выходной","","","","","","","","","",""
"","","","","сб,вс","выходной","","","","","","","","","","","","","",""
"ДО «Новомытищинский, 78» Филиала № 7701 Банка ВТБ (ПАО)","141018, Московская область, г. Мытищи, пр-т Новомытищинский, д.78","","открытая","пн-чт","09:00-18:00","нет РКО","","пн-пт","09:00-19:00","Да","Стандарт","null","null","55.904148","37.72485","null","17915","null","False"
"","","","","пт","09:00-16:00","","","сб","09:30-15:30","","","","","","","","","",""
"","","","","сб,вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «ЦИК «Мытищи» Филиала № 7701 Банка ВТБ (ПАО)","141000, Московская область, г. Мытищи, ул. Сукромка, стр. 7","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.903538","37.71344","null","17604","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-20:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-20:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-20:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Новокуркино» Филиала № 7701 Банка ВТБ (ПАО)","141410, Московская область, г. Химки, пр-т Мельникова, д. 2-Б, пом. III","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.901184","37.407536","null","21078","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Алтуфьево» Филиала № 7701 Банка ВТБ (ПАО)","127349, г. Москва, Алтуфьевское шоссе, д. 90","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.900169","37.588306","Москва, Серпуховско-Тимирязевская линия, метро Алтуфьево","16366","False","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «ЦИК «Химки-Правобережный» Филиала № 7701 Банка ВТБ (ПАО)","141400, Московская область, г. Химки, ул. Пролетарская, д. 8, стр. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.892334","37.440552","null","19039","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Машинцева» Филиала № 7701 Банка ВТБ (ПАО)","141407, Московская область, г. Химки, ул. Машинцева, строен. 5Б","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-19:00","Да","Универсальный","Y","N","55.890957","37.407825","null","20197","False","False"
"","","","","вт","09:00-18:00","","","вт","09:00-19:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-19:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-19:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Химки» Филиала № 7701 Банка ВТБ (ПАО)","141400, Московская область, г. Химки, Химки-центр, Ленинградское ш., вл. 5","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.888763","37.433525","null","18987","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Медведково» Филиала № 7701 Банка ВТБ (ПАО)","127224, г. Москва, ул. Широкая, д.13а","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.888107","37.66246","Москва, Калужско-Рижская линия, метро Медведково","15131","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Бибирево» Филиала № 7701 Банка ВТБ (ПАО)","127549, г. Москва, ул. Пришвина, д. 23","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.885498","37.604683","Москва, Серпуховско-Тимирязевская линия, метро Бибирево","14645","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Бабушкинский» Филиала № 7701 Банка ВТБ (ПАО)","129327, г. Москва, ул. Менжинского, д. 21","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да","Универсальный","Y","N","55.868855","37.667446","Москва, Калужско-Рижская линия, метро Бабушкинская","13095","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Енисейской» Филиала № 7701 Банка ВТБ (ПАО)","129327, г. Москва, ул. Енисейская, д.11","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.865288","37.661438","Москва, Калужско-Рижская линия, метро Бабушкинская","12627","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Планерный» Филиала № 7701 Банка ВТБ (ПАО)","125480, г. Москва, ул. Планерная, д. 7, корп. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да","Универсальный","Y","Y","55.863358","37.43351","Москва, Таганско-Краснопресненская линия, метро Планерная","16852","False","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Отрадное» Филиала № 7701 Банка ВТБ (ПАО)","127273, г. Москва, ул. Декабристов, д. 20, корп. 2","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.862343","37.608948","Москва, Серпуховско-Тимирязевская линия, метро Отрадное","12058","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Дедовский» Филиала № 7701 Банка ВТБ (ПАО)","143530, Московская область, Истринский р-н, г. Дедовск, ул. Гагарина, д. 9","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-18:00","Да","Универсальный","Y","Y","55.859764","37.121326","null","33327","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-18:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-18:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-18:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-18:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «На Лавочкина» Филиала № 7701 Банка ВТБ (ПАО)","125581, г. Москва, ул. Лавочкина, д. 34","","открытая","Не обслуживает ЮЛ","null","нет РКО","","пн","10:00-20:00","Да","Розничный (РБ)","Y","Y","55.856342","37.493847","null","13850","False","False"
"","","","","","","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","ср","10:00-20:00","","","","","","","","","",""
"","","","","","","","","чт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","пт","10:00-20:00","","","","","","","","","",""
"","","","","","","","","сб","10:00-17:00","","","","","","","","","",""
"","","","","","","","","вс","10:00-17:00","","","","","","","","","",""
"ДО «Верхние Лихоборы» Филиала № 7701 Банка ВТБ (ПАО)","127474, г. Москва, Дмитровское ш., д. 64, кор. 1","","открытая","пн","09:00-18:00","есть РКО","","пн","09:00-21:00","Да (Зона Привилегия)","Универсальный","Y","Y","55.855362","37.562981","Москва, Люблинско-Дмитровская линия, метро Верхние Лихоборы","11819","True","False"
"","","","","вт","09:00-18:00","","","вт","09:00-21:00","","","","","","","","","",""
"","","","","ср","09:00-18:00","","","ср","09:00-21:00","","","","","","","","","",""
"","","","","чт","09:00-18:00","","","чт","09:00-21:00","","","","","","","","","",""
"","","","","пт","09:00-17:00","","","пт","09:00-21:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","10:00-19:00","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Свиблово» Филиала № 7701 Банка ВТБ (ПАО)","129323, г. Москва, ул. Снежная, д. 26","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-19:00","Да (Зона Привилегия)","Универсальный","Y","N","55.854996","37.653389","Москва, Калужско-Рижская линия, метро Свиблово","11408","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-19:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-19:00","","","","","","","","","",""
"","","","","чт","10:00-19:00","","","чт","10:00-19:00","","","","","","","","","",""
"","","","","пт","10:00-18:00","","","пт","10:00-19:00","","","","","","","","","",""
"","","","","сб","выходной","","","сб","выходной","","","","","","","","","",""
"","","","","вс","выходной","","","вс","выходной","","","","","","","","","",""
"ДО «Химкинский бульвар» Филиала № 7701 Банка ВТБ (ПАО)","125373, г. Москва, Химкинский бульвар, д. 16, корп. 1","","открытая","пн","10:00-19:00","есть РКО","","пн","10:00-20:00","Да (Зона Привилегия)","Универсальный","Y","N","55.851986","37.443012","Москва, Таганско-Краснопресненская линия, метро Сходненская","15537","True","False"
"","","","","вт","10:00-19:00","","","вт","10:00-20:00","","","","","","","","","",""
"","","","","ср","10:00-19:00","","","ср","10:00-20:00","","","","","","","","","",""
